Flamecraft,Worker placement and resource management,Acquire dragons with different abilities by going to shops in town to purchase resources. Cute.,
Flinch,,,
Flip City,,,
Floor Plan: winchester mystery house,,,
Forbidden Desert,,,
Forbidden Island,,,
Fumbling Ferrets,,,
Funglish,,,
Game of life--pirates of the Carribean,,,
Gloom ,,,
Gloomhaven,,,
Glow,,,
Go FishZ!,,,
Gubs,Fast and easy,"Collect Gub cards, use tool cards to steal cards from other players, cause them to  cards or defend your gubs from attack.",
Guesstures,,,
Hafid's Grand Bazaar,,,
Hand to hand wombat,,,
Happy Little Dinosaurs plus expansion,,,
Harry Potter trivia game,,,
Headbandz,,,
Heist: one team one mission,,,
Hexus,,,
Hijara X2,,,
Hilarium,,,
Hisss,,,
Holmes: sherlock and mycroft,,,
Hoot Owl Hoot,,,
Horrified,,,
Houdini vs The Genie,,,
How to rob a bank,,,
Hullabaloo,,,
Illimat,Unique card game,A card deck with 4 suits is used to collect cards from a playing area to make sets that are worth points,
Imagine,,,
Imhotep,,,
In a pickle,,,
In the Footsteps of Marie Curie,,,
Indigo,,,
Itzi,,,
jumanji,,,
Jungle Speed,,,
Juxtabo,,,
Killer Bunnies,,,
King of Tokyo,,,
Kingdominao,Fast and easy,Use grass/stone/water tiles of different shapes to assemble the highest point kingdom within a square limitation,
Klask,,,
Knock your blocks off,,,
Kodama,,,
Kulami,,,
Labyrinth,,,
Labyrinth the Duel,,,
Ladybug Game,,,
Last Letter,,,
Last Word,,,
Libertalia,,,
Lloyd's 15,,,
Loaded question,,,
Lofoten,,,
Loot,,,
Lotus,,,
Machi Koro,,,
Magic unsanctionaed,,,
Make N Break,,,
Man Bites Dog,,,
Marbles,,,
Mariposas,,,
Meadow,,,
MesoZooic,,,
Mille Bornes,,,
Mine Shift,,,
Mint Works,,,
Mombasa,,,
Monopoly Builder,,,
Monopoly Speed,,,
Mummy Rummy,,,
Munchkin,,,
Munchkin Pathfinder,,,
Munchkin Zombies  ,,,
Munchkin Zombies Deluxe,,,
Mysterium,,,
Mystery Garden,,,
Nab it,,,
Naga Raja,two player,"Explore an ancient Indian temple, gamble to compete for resources to find all the treasures in the temple and avoid traps",
Name 5,,,
Nine Mens Morris,,,
Nmbr9,Puzzle,Use tiles of differing tetris-like shapes to build a stack that maximizes points,
Noctiluca,Dice,Select dice of differing colors and numbers to complete mini-missions that give you points when completed,
Nowhere to Go,,,
Obscurio,,,
Old Maid,,,
On the Dot,,,
One Night Werewolf,,,
Onitama,,,
Original Fluxx,Fast and easy,"Play cards with various instructions on them, collect sets to win. ",
Othello,,,
Otrio,,,
P for Pizza,,,
Pandemic,Cooperative,"Work together in different roles to travel the world to try and stop a pandemic from spreading. Harder than you might think at first, especially when new epidemics spring up and you are battling several different diseases at once.",
Perpetual Commotion,,,
Perquacky,,,
Photosynthesis plus expansion,Longer resource management,"Acquire trees and place them on a board strategically to get points. May sound boring, requires quite a  it of strategy and harder than it might seem at first, especially when other players take the spots you wanted.",
Pickles to Penguins,,,
Pictureka,,,
Pirate Fluxx,,,
Pit,,,
Planet,,,
Pokemon Battle Academy,,,
Poker,,,
Project L,,,
Pyramix,,,
Q-Bits Extreme,,,
Qfit,,,
Quarto ,,,
Quelf,,,
Quiddler,,,
Quixo,,,
Quoriddor,,,
Qwirkle,Sets good for kids,"Domino-like tiles with various shapes and colors are used to make a crossword like board that maximizes sets (e.g. all one color, all one shape, etc.).",
Qwixx,,,
Qwixx Delux,,,
Raccoon Tycoon,,,
Racko,,,
Racko,,,
Rainbow Ball,,,
Red Rising,,,
Reykholt,,,
Rick and Morty Total Rickall,,,
Risk,,,
Roadside Rescue,,,
RoboChamp,,,
Roller Coaster tycoon,,,
Rollers,,,
Rolling Realms,"Puzzle, logic","Each game has a set of mini-games that you use resources to play and maximize points. A varety of mini-games are available. Each player is working on their own to complete their own set of games, little interaction.",
Rook,,,
Root,,,
Rubik's Perplexus,,,
Rumis,,,
Rummikub,Number sets,"Domino-style tiles with numbers are used/drawn to complete number sets (e.g. 4 of a kind, runs, etc.)",
Rummy-O,,,
Sagrada,Puzzle,Draft dice of differing colors and numbers to complete a stained glass window that maximizes points. Placement rules make this game challenging.,
Sail Away,,,
Sardines,,,
Scattergories,,,
Scotland Yard,Logic,"Players are chasing one player around London on streets, Metro and boat. Group wins if they manage to find the culprit",
Scrabble,,,
Scrabble Slam,,,
Selfisg,,,
Sequence,,,
Sequence for kids,,,
Set,,,
Shut the Box,,,
Slamwich,,,
Sleeping Queens,,,
Sliders,,,
Smart Ass,,,
Sorcerer,,,
Spirit Island,,,
Splendor, ,,
Spontuneous,,,
Spyfall,,,
Squashed,,,
Squirmish,,,
Star Trek Fluxx,,,
Steampunk Rally Fusion,,,
Stipulations,,,
Story Cubes,,,
Stratego,,,
Stupid Deaths,,,
Summer Camp,,,
Sunflower Valley,,,
Super Munchkin,,,
Suspicion,,,
Swish,,,
Switchback,,,
Taco vs. Burrito,,,
Take the Train,,,
Takenoko,,,
Tang Garden,,,
Tenzi,,,
The Crew,,,
The DaVinci Code board game,,,
The Epic Beard Game,,,
The Game,,,
The game of Life,,,
The genius square,,,
The Grimwood,,,
The Initiative,,,
The Mind,,,
The Oregon Trail,,,
The Perilous Parlour Game (series of unfortunate events),,,
The Settlers of Catan,,,
The Vale of Eternity,,,
There's a Moose in the House,,,
There's been a Murder,,,
Throw throw burrito,,,
Ticket to Ride,,,
Ticket to Ride Europe,,,
Tiki Topple,,,
Tiny Epic Quest,,,
Tiny Towns,City builder,Acquire resources to build specific types of buildings in a town grid that maximize points and fulfill individual goal cards.,
Tipover,,,
Titanic,,,
Tokaido,Relaxed resource management,"Take a walk on the Tokaido road, visiting temples, restaurants, shops and natural beauty spots to gather resources for points",
Tokaido Duo,,,
"Toledo: art, steel and glory",,,
Too Many Monkeys,,,
Toss your Cookies,,,
Trash Pandas,,,
Trekking the national parks,,,
Trellis,Fast and easy,Use your colored tiles that have various patterns of vines on them to make chains on a playing field that maximize your points,
Triominos,,,
Trip Lock,Very hard single player puzzle,Logic game that gives you some clues and lots of rules to try and open a lock mechanism before time runs out. Very challenging. Can also be played with 2 people.,
Trivial Pursuit Disney,,,
Trivial Pursuit family edition,,,
Tsuro,Fast and easy,"Use tiles with road patterns on them to create roads that your meeples can travel, be the last person standing to win",
Turing Machine,Logic and computing,Use logic rules and tests to deduce a pattern before anyone else. Requires advanced logic skills.,
Tutti Quantum,,,
Twister,,,
Tzolk'in,,,
Ubongo,,,
Ukotoa,,,
Unlock Epic Adventures,,,
Unlock Escape Adventures,,,
Unlock Heroic adventures,,,
Uno,,,
Unstable Unicorns,Unique card game,"Collect nicorns on cards and try to hold on to them in your ""stable"" while attacking other stables using the powers of the unicorns. Fast, easy to learn.",
Upwords,Word,Scrabble except you can add tiles on top of previous letters to make new words for points.,
Urban Myth,,,
Villanous (original),,,
Visitor,,,
Wild Space,Deck builder,Acquire a space crew of different animals with differing professions and abilities. Explore different planets that allow you to play cards into your crew to maximize points. Done in ten rounds.,
Winomino,,,
Wise and Otherwise,,,
Worst Case Scenario Survival Game,,,
Yahtzee,,,
Zategy,,,
Zertz,,,
Zeus on the Loose,,,
Zigity,,,
Zip-it,,,
Zombie Pox,,,
Zooreka,,,
